YEAR_op;SCENARIO;SMR w/o CCUS;Solar;SolarPPA;WindOffShorePPA;WindOffShore_flot;WindOnShore;WindOnShorePPA;curtailment;Alkaline electrolysis;importsH2;totalProd;feedRE;loadFac_elec;total_carbon;carbon;costs;total_costs
2020;scenario1;3591,6;0;0;0;0;0;0;0;0;0;107748000;0;0;935730788,9;8,684437659;1,742377748;187737717,6
2030;scenario1;0;164,9239;0;0;0;401,36565;0;0;3554,493553;1044,506447;137970000;367,720487;0,296411032;16387651,81;0,118776921;3,883013753;537496284,3
2020;scenario2;3591,6;0;0;0;0;0;0;0;0;0;107748000;0;0;935730788,9;8,684437659;1,742377748;187737717,6
2030;scenario2;0;164,9239;2206,282438;0;0;390,01065;2067,455604;0;4170,176074;428,8239256;137970000;3135,501683;0,454937671;6235304,129;0,045193188;3,676727602;510705356,6
2020;scenario3;3591,6;0;0;0;0;0;0;0;0;0;107748000;0;0;935730788,9;8,684437659;1,742377748;187737717,6
2030;scenario3;0;3046,186069;0;0;0;1994,856111;0;0;4240,737551;358,2624488;137970000;3273,404013;0,430725982;6054074,805;0,043879646;3,891062818;539811019,7
2020;scenario4;3591,6;0;0;0;0;0;0;0;0;0;107748000;0;0;935730788,9;8,684437659;1,742377748;187737717,6
2030;scenario4;0;628,170769;0;0;0;3971,608536;0;0;4573,297312;25,702688;137970000;2986,869679;0,550342995;7633295,568;0,055325763;3,675993127;513434724,7
2020;scenario3_10;3591,6;0;0;0;0;0;0;0;0;0;107748000;0;0;935730788,9;8,684437659;1,742377748;187737717,6
2030;scenario3_10;0;3046,186069;0;0;0;1994,856111;0;0;4240,737551;358,2624488;137970000;3273,404013;0,430725982;6054074,805;0,043879646;3,553874018;490327998,3
2020;scenario4_10;3591,6;0;0;0;0;0;0;0;0;0;107748000;0;0;935730788,9;8,684437659;1,742377748;187737717,6
2030;scenario4_10;0;628,170769;0;0;0;3971,608536;0;0;4573,297312;25,702688;137970000;2986,869679;0,550342995;7633295,568;0,055325763;3,338804328;460654833,1
2020;scenario3_50;3591,6;0;0;0;0;0;0;0;0;0;107748000;0;0;935730788,9;8,684437659;1,742377748;187737717,6
2030;scenario3_50;0;3046,186069;0;0;0;1994,856111;0;0;4240,737551;358,2624488;137970000;3273,404013;0,430725982;6054074,805;0,043879646;3,650213675;503619980,7
2020;scenario4_50;3591,6;0;0;0;0;0;0;0;0;0;107748000;0;0;935730788,9;8,684437659;1,742377748;187737717,6
2030;scenario4_50;0;628,170769;0;0;0;3971,608536;0;0;4573,297312;25,702688;137970000;2986,869679;0,550342995;7633295,568;0,055325763;3,435143985;473946815,6
2020;scenario3_250;3591,6;0;0;0;0;0;0;0;0;0;107748000;0;0;935730788,9;8,684437659;1,742377748;187737717,6
2030;scenario3_250;0;3046,186069;0;0;0;1994,856111;0;0;4240,737551;358,2624488;137970000;3273,404013;0,430725982;6054074,805;0,043879646;4,13191196;570079893,2
2020;scenario4_250;3591,6;0;0;0;0;0;0;0;0;0;107748000;0;0;935730788,9;8,684437659;1,742377748;187737717,6
2030;scenario4_250;0;628,170769;0;0;0;3971,608536;0;0;4573,297312;25,702688;137970000;2986,869679;0,550342995;7633295,568;0,055325763;3,91684227;540406728
2020;scenario3_500;3591,6;0;0;0;0;0;0;0;0;0;107748000;0;0;935730788,9;8,684437659;1,742377748;187737717,6
2030;scenario3_500;0;3046,186069;0;0;0;1994,856111;0;0;4240,737551;358,2624488;137970000;3273,404013;0,430725982;6054074,805;0,043879646;4,734034817;653154783,7
2020;scenario4_500;3591,6;0;0;0;0;0;0;0;0;0;107748000;0;0;935730788,9;8,684437659;1,742377748;187737717,6
2030;scenario4_500;0;628,170769;0;0;0;3971,608536;0;0;4573,297312;25,702688;137970000;2986,869679;0,550342995;7633295,568;0,055325763;4,518965126;623481618,5
2020;scenario1_tdemi;3591,6;0;0;0;0;0;0;0;0;0;107748000;0;0;935730788,9;8,684437659;1,742377748;187737717,6
2030;scenario1_tdemi;0;164,9239;0;0;0;401,36565;0;0;3548,309575;1050,690425;137970000;367,720487;0,300202341;16348931,6;0,118496279;3,904691231;538730249,2
2020;scenario1_tdouble;3591,6;0;0;0;0;0;0;0;0;0;107748000;0;0;935730788,9;8,684437659;1,742377748;187737717,6
2030;scenario1_tdouble;0;164,9239;0;0;0;401,36565;0;0;3484,350922;1114,649078;137970000;367,720487;0,330720451;16199213,09;0,117411126;4,215432874;581603273,7
2020;scenario2_tdemi;3591,6;0;0;0;0;0;0;0;0;0;107748000;0;0;935730788,9;8,684437659;1,742377748;187737717,6
2030;scenario2_tdemi;0;164,9239;1910,072628;0;0;401,36565;1966,174631;0;4178,46221;420,5377902;137970000;2884,764162;0,432990486;7793262,324;0,056485195;3,552471419;490134481,7
2020;scenario2_tdouble;3591,6;0;0;0;0;0;0;0;0;0;107748000;0;0;935730788,9;8,684437659;1,742377748;187737717,6
2030;scenario2_tdouble;0;164,9239;3030,91431;0;0;346,8148542;2004,471924;0;4166,879503;432,1204967;137970000;3602,029214;0,437058944;3407904,138;0,024700327;3,83577875;529222394,1
2020;scenario3_tdemi;3591,6;0;0;0;0;0;0;0;0;0;107748000;0;0;935730788,9;8,684437659;1,742377748;187737717,6
2030;scenario3_tdemi;0;2992,151991;0;0;0;2030,726242;0;0;4234,878667;364,1213334;137970000;3261,609242;0,434376053;6061370,751;0,043932527;3,907366742;539099389,4
2020;scenario3_tdouble;3591,6;0;0;0;0;0;0;0;0;0;107748000;0;0;935730788,9;8,684437659;1,742377748;187737717,6
2030;scenario3_tdouble;0;3033,103613;0;0;0;2277,830001;0;0;4218,826924;380,1730763;137970000;3448,658191;0,45382864;4588314,432;0,033255885;4,085545896;563682767,2
2020;scenario4_tdemi;3591,6;0;0;0;0;0;0;0;0;0;107748000;0;0;935730788,9;8,684437659;1,742377748;187737717,6
2030;scenario4_tdemi;0;692,4457034;0;0;0;3944,425536;0;0;4573,232444;25,76755644;137970000;3010,95535;0,550820299;7572683,219;0,054886448;3,689644855;509060300,7
2020;scenario4_tdouble;3591,6;0;0;0;0;0;0;0;0;0;107748000;0;0;935730788,9;8,684437659;1,742377748;187737717,6
2030;scenario4_tdouble;0;1515,981009;0;0;0;3733,555223;0;0;4566,76171;32,23828958;137970000;3408,789761;0,561224293;6159059,937;0,044640574;3,854051319;531743460,5
;;;;;;;;;;;;;;;;;;
;;Capa;Solar;SolarPPA;;;WindOnShore;WindOnShorePPA;;;;share of RE;0,103452287;;;;;
availability;;;0;0;;;0;0;;;;;#DIV/0!;;;;;
solar;0,1888;;100;0;;;150;0;;;;;0,751887121;;;;;
wind on;0,305;;0;0;;;0;0;;;;;#DIV/0!;;;;;
;;;100;1356,279159;;;150;773,5949096;;;;;0,771894977;;;;;
;;;0;0;;;0;0;;;;;#DIV/0!;;;;;
;;;1847,025246;0;;;760,8509681;0;;;;;0,653110759;;;;;
;;;0;0;;;0;0;;;;;#DIV/0!;;;;;
;;;380,8852258;0;;;1490,656979;0;;;;;;;;;;
;;;max prod;;curtailment;;max prod;;curtailement;;;;;;;;;
;;;0;0;0;0;0;0;0;0;0;#DIV/0!;;;;;;
;;;165,3888;0;0,4649;0;400,77;0;-0,59565;0;-0,13075;-0,023094227;;;;;;
;;;0;0;0;0;0;0;0;0;0;#DIV/0!;;;;;;
;;;165,3888;2243,133825;0,4649;36,8513877;400,77;2066,890879;10,75935;-0,564724284;47,51091342;0,974346297;;;;;;
;;;0;0;0;0;0;0;0;0;0;#DIV/0!;;;;;;
;;;3054,77289;0;8,586820367;0;2032,841617;0;37,98550601;0;46,57232637;0,915405959;;;;;;
;;;0;0;0;0;0;0;0;0;0;#DIV/0!;;;;;;
;;;629,9415044;0;1,770735415;0;3982,737318;0;11,12878136;0;12,89951678;0,279653478;;;;;;
