,YEAR_op,TECHNOLOGIES,capacity_Pvar
0,2040,IntercoOut,0.0
1,2040,CCG_H2,0.0
2,2040,TAC,0.0
3,2040,NewNuke,6600.0
4,2040,IntercoIn,29700.0
5,2040,HydroRiver,12000.0
6,2040,WindOffShore,20900.0
7,2040,electrolysis_AEL,4550.361621744234
8,2040,curtailment,18957.779732063405
9,2040,TAC_H2,0.0
10,2040,CCG,5000.0
11,2040,OldNuke,43100.0
12,2040,Coal_p,0.0
13,2040,Solar,79600.0
14,2040,HydroReservoir,16000.0
15,2040,WindOnShore,47200.0
16,2050,IntercoOut,0.0
17,2050,CCG_H2,0.0
18,2050,TAC,0.0
19,2050,NewNuke,13200.0
20,2050,IntercoIn,39400.0
21,2050,HydroRiver,13000.0
22,2050,WindOffShore,45000.0
23,2050,electrolysis_AEL,11999.52008564348
24,2050,curtailment,16983.041492235774
25,2050,TAC_H2,385.6176680070743
26,2050,CCG,500.0
27,2050,OldNuke,15500.0
28,2050,Coal_p,0.0
29,2050,Solar,118000.0
30,2050,HydroReservoir,17000.0
31,2050,WindOnShore,58000.0
32,2020,IntercoOut,0.0
33,2020,CCG_H2,0.0
34,2020,TAC,7100.0
35,2020,NewNuke,0.0
36,2020,IntercoIn,0.0
37,2020,HydroRiver,11000.0
38,2020,WindOffShore,0.0
39,2020,electrolysis_AEL,0.0
40,2020,curtailment,0.0
41,2020,TAC_H2,0.0
42,2020,CCG,5000.0
43,2020,OldNuke,63100.0
44,2020,Coal_p,6000.0
45,2020,Solar,4000.0
46,2020,HydroReservoir,15000.0
47,2020,WindOnShore,8000.0
48,2030,IntercoOut,0.0
49,2030,CCG_H2,0.0
50,2030,TAC,6500.0
51,2030,NewNuke,0.0
52,2030,IntercoIn,9943.518085092692
53,2030,HydroRiver,11000.0
54,2030,WindOffShore,5200.0
55,2030,electrolysis_AEL,2586.7186256682503
56,2030,curtailment,1974.7382398276313
57,2030,TAC_H2,0.0
58,2030,CCG,5000.0
59,2030,OldNuke,59400.0
60,2030,Coal_p,1000.0
61,2030,Solar,35100.0
62,2030,HydroReservoir,15000.0
63,2030,WindOnShore,33200.0
